External Library Name, Link to License, License Name, Binaries using the license.
Qt 5, https://doc.qt.io/qt-5/licensing.html, LGPL-3.0-only, lib64/qt/lib/libQt5WidgetsAndroidEmu.so.5 lib64/qt/plugins/imageformats/libqicns.so lib64/qt/plugins/bearer/libqconnmanbearer.so lib64/qt/lib/libX11-xcb.so.1 lib64/qt/plugins/iconengines/libqsvgicon.so lib64/qt/plugins/imageformats/libqwebp.so lib64/qt/lib/libQt5CoreAndroidEmu.so.5 lib64/qt/plugins/imageformats/libqgif.so lib64/qt/plugins/platforminputcontexts/libcomposeplatforminputcontextplugin.so lib64/qt/lib/libX11-xcb.so.1.0.0 lib64/qt/lib/libxcb-xkb.so.1.0 lib64/qt/lib/libfreetype.so.6 lib64/qt/plugins/platforms/libqxcb.so lib64/qt/plugins/imageformats/libqtiff.so lib64/qt/plugins/imageformats/libqsvg.so lib64/qt/plugins/bearer/libqnmbearer.so lib64/qt/lib/libxkbcommon.so lib64/qt/lib/libQt5SvgAndroidEmu.so.5 lib64/qt/lib/libX11-xcb.so.1.0 lib64/qt/lib/libxkbcommon-x11.so.0.0.0 lib64/qt/plugins/bearer/libqgenericbearer.so lib64/qt/plugins/imageformats/libqico.so lib64/qt/lib/libQt5NetworkAndroidEmu.so.5 lib64/qt/lib/libQt5XcbQpaAndroidEmu.so.5 ./emulator lib64/qt/lib/libxkbcommon.so.0 lib64/qt/lib/libsoftokn3.so lib64/qt/lib/libQt5PrintSupportAndroidEmu.so.5 lib64/qt/lib/libfontconfig.so.1 lib64/qt/lib/libxkbcommon.so.0.0.0 lib64/qt/lib/libxkbcommon-x11.so lib64/qt/lib/libxcb-xkb.so.1 lib64/qt/lib/libQt5GuiAndroidEmu.so.5 lib64/qt/lib/libxkbcommon-x11.so.0 lib64/qt/plugins/imageformats/libqtga.so lib64/qt/lib/libxcb-xkb.so.1.0.0 lib64/qt/plugins/imageformats/libqwbmp.so lib64/qt/lib/libsqlite3.so lib64/qt/plugins/imageformats/libqjpeg.so lib64/qt/lib/libQt5DBusAndroidEmu.so.5, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
grpc++, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel ./goldfish-webrtc-bridge ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-aarch64-headless, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
libprotobuf, https://android.googlesource.com/platform/external/protobuf/+/refs/heads/emu-master-dev/NOTICE, BSD-3-Clause, ./goldfish-webrtc-bridge ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-i386-headless OpenglRender.so ./perfetto-protozero-protoc-plugin ./emulator ./qsn ./qemu/linux-x86_64/qemu-system-x86_64 emugl_common.so ./qemu/linux-x86_64/qemu-system-aarch64-headless ./emulator-crash-service ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64, https://android.googlesource.com/platform/external/protobuf/+/refs/heads/emu-master-dev
breakpad, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev/LICENSE, BSD-3-Clause, ./emulator-crash-service ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel ./goldfish-webrtc-bridge OpenglRender.so ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu-img ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64 ./emulator emugl_common.so ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-aarch64-headless ./emulator-check, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev
qemu, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSE, GPL-2.0-only, ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu-img ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-aarch64-headless, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
e2fs, http://www.linfo.org/e2fsprogs.html, GPL-2.0-only, bin64/resize2fs bin64/fsck.ext4 bin64/tune2fs bin64/mkfs.ext4 bin64/e2fsck ./emulator, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/e2fsprogs-1.42.13-patches.tar.xz
bios, https://android.googlesource.com/platform/external/qemu-pc-bios/+/refs/heads/master/README, LGPL-2.0-or-later, ./emulator, https://android.googlesource.com/platform/external/qemu-pc-bios/+/refs/heads/master/
Qt Widgets, https://doc.qt.io/qt-5.12/qtWidgets-index.html#licenses-and-attributions, LGPL-3.0-only, ./emulator-crash-service ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
qemu-system, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSES/LICENSE.APACHE2, Apache-2.0, ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-x86_64-headless, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
gpr, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel ./goldfish-webrtc-bridge ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-aarch64-headless, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
